Job Order No,Date,Fabric,Brand,Shade,Size,Quantity,Unit,Party Name,Garment Type,Section,Season,Emb,Emb Details,Printing,Printing Details,Pattern,Style,Remarks,Direct Stitching,Submitted By,Image URL,Lot Number,Component ,Challan No,Challan Date,Challan Items JSON,Challan History JSON,Challan Total Qty,Challan Complete Lot,Challan By,Challan PDF URL,Priority,Cancellation Timestamp,Cancelled By,Cancellation Approved From,Cancellation Reason,Status,Tape/Lace,Bottom Type,Zip,Sticker,Collar,Bone,FULL BAJU,,FABRIC_SUPERVISOR,PDF Status,PDF Generated Date,PDF Blocked,Order No.,Email Notified At
JO-1,2025-08-27,3553,Hoodbyrich,"Black, off-white , olive","M,L,L,XL, XXL",30,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,GOURAV,"FRONT, OTHER:Cap",NA,,SS Pattern,Cross Hoodie,,no,Ravinder,,11028,,CH-EMB-0052,13 Oct 2025,"{""items"":[{""shade"":""BLACK"",""qty"":140},{""shade"":""OFF-WHITE"",""qty"":135},{""shade"":""OLIVE"",""qty"":140}],""completeLot"":false,""notedAt"":""2025-10-13T10:09:25.386Z""}","[{""number"":""CH-EMB-0052"",""date"":""29 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":415,""items"":[{""shade"":""BLACK"",""qty"":140},{""shade"":""OFF-WHITE"",""qty"":135},{""shade"":""OLIVE"",""qty"":140}],""receivedDate"":""2025-10-15T07:26:24.062Z"",""embCompleted"":true,""embUpdatedAt"":""2025-10-15T08:38:37.517Z""}]",415,no,,,,,,,,,abc,abc,Yes,,,,YES,,,,,,YES,
JO-2,2025-08-29,3553,AMIRI,"BLACK,OFFWHITE,OLIVE","M,L,L,XL,XXL",20,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,NA,,SS Pattern,FULL ZIPPER (MONKEY HOOD),,no,RAVINDER,,11029,,CH-EMB-0088,13 Oct 2025,"{""items"":[{""shade"":""BLACK"",""qty"":100},{""shade"":""OFFWHITE"",""qty"":100},{""shade"":""OLIVE"",""qty"":100}],""completeLot"":false,""notedAt"":""2025-11-25T12:47:00.863Z""}","[{""number"":""CH-EMB-0088"",""date"":""13 Oct 2025"",""by"":"""",""completeLot"":false,""totalQty"":300,""items"":[{""shade"":""BLACK"",""qty"":100},{""shade"":""OFFWHITE"",""qty"":100},{""shade"":""OLIVE"",""qty"":100}],""receivedDate"":""2025-10-15T07:26:33.678Z"",""embCompleted"":true,""embUpdatedAt"":""2025-11-22T14:38:14.476Z""}]",300,no,,,,,,,,,yes,blue,no,,,,YES,,,,,,YES,
JO-3,2025-08-30,KT-5060,H&M,"Camel , olive , black",M/ M/ L/ L/ XL/ XXL,30,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,,,,,SS Pattern,SW HOODIE,Urgent ,yes,Mohit Goyal,,11030,,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-4,2025-08-30,DESOWE KT,Lacoste,"Black , black , Leaf, butter , mouse",M/L/L/XL/XXL,20,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,,,SS Pattern,Lacoste ka logo lgega sticker ,"Gulla Maching 
Black - leaf 
Black - butter 
Leaf - butter 
Butter- leaf 
Mouse- black",yes,Mohit Goyal,,11031,UPPER,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-4,2025-08-30,DESOWE KT,Lacoste,"Black , black , Leaf, butter , mouse",M/L/L/XL/XXL,20,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,,,SS Pattern,Lacoste ka logo lgega sticker ,"Gulla Maching 
Black - leaf 
Black - butter 
Leaf - butter 
Butter- leaf 
Mouse- black",yes,Mohit Goyal,,11032,LOWER,,,,,,,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-5,2025-08-30,H M LYCRA,NORTH FACE,NAVY/BLACK/KHAKHI/GREEN/BROWN/CREAM/COFFEE,"M,L,L,XL,2XL",16,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,,,,SS Pattern,,"1.25 INCH LENGHT INCREASE,
.5 WIDTH INCREASE",no,EA,,11033,,CH-EMB-0007,29 Sept 2025,"{""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""completeLot"":false,""notedAt"":""2025-09-29T11:52:32.932Z""}","[{""number"":""CH-EMB-0007"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":615,""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""receivedDate"":""2025-09-20T12:20:40.250Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T12:21:12.638Z""}]",615,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-6,2025-08-30,H M LYCRA,NIKE,NAVY/BLACK/KHAKHI/GREEN/BROWN/CREAM/COFFEE,"M,L,L,XL,2XL",16,SETS,Mohit Hosiery,LOWER,GENTS,WINTER,BHM,,,,SS Pattern,,"1.25 INCH LENGHT INCREASE,
.5 WIDHT INCREASE",no,EA,,11034,,CH-EMB-0008,20 Sept 2025,"{""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""completeLot"":false,""notedAt"":""2025-09-20T08:08:00.842Z""}","[{""number"":""CH-EMB-0008"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":615,""items"":[{""shade"":""NAVY"",""qty"":75},{""shade"":""BLACK"",""qty"":90},{""shade"":""KHAKHI"",""qty"":90},{""shade"":""GREEN"",""qty"":90},{""shade"":""BROWN"",""qty"":90},{""shade"":""CREAM"",""qty"":90},{""shade"":""COFFEE"",""qty"":90}],""receivedDate"":""2025-09-20T12:21:23.322Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-20T12:21:32.093Z""}]",615,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-7,2025-08-30,MH GERMAN FLEECE,NORTH FACE,LIGHT COFFEE/TEAL/BLACK/WHITE/15%,"M,L,L,XL,2XL",25,SETS,Mohit Hosiery,SWEATSHIRT,GENTS,WINTER,BHM,FRONT,,,,FULL ZIPPER (MONKEY HOOD),TAFTA MATCHING PASS KARWA LENA,no,EA,https://drive.google.com/uc?export=download&id=1izYzCYiNCy0QkHxPLPZJoP71DK8lFkgR,11035,,CH-EMB-0019,20 Sept 2025,"{""items"":[{""shade"":""LIGHT COFFEE"",""qty"":130},{""shade"":""TEAL"",""qty"":105},{""shade"":""BLACK"",""qty"":135},{""shade"":""WHITE"",""qty"":125},{""shade"":""15%"",""qty"":130}],""completeLot"":false,""notedAt"":""2025-09-20T08:20:29.126Z""}","[{""number"":""CH-EMB-0019"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":625,""items"":[{""shade"":""LIGHT COFFEE"",""qty"":130},{""shade"":""TEAL"",""qty"":105},{""shade"":""BLACK"",""qty"":135},{""shade"":""WHITE"",""qty"":125},{""shade"":""15%"",""qty"":130}],""receivedDate"":""2025-09-30T13:23:23.893Z"",""embCompleted"":true,""embUpdatedAt"":""2025-10-06T07:44:47.727Z""}]",625,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-8,2025-08-30,MH GERMAN FLEECE,TOMMY HILFIGER,15%/ OFF.WHITE/NAVY/RED/B.GREEN,M/L/L/XL/XXL,30,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,BHM,"FRONT, OTHER:TOMMY LOGO",N/A,,FLAT KHARCHE WALA TOMMY PC,no,EA,https://drive.google.com/uc?export=download&id=1lBhG_1hB6oCavCamDveppmKN0DjbDjKA,11036,UPPER,CH-PRINT-0001,20 Sept 2025,"{""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-20T08:29:17.525Z""}","[{""number"":""CH-PRINT-0001"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":750,""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""receivedDate"":""2025-09-20T08:31:44.846Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-23T09:10:13.578Z""}]",750,no,,,,,,,,,,,,,,,YES,,,,,,YES,
JO-8,2025-08-30,MH GERMAN FLEECE,TOMMY HILFIGER,15%/ OFF.WHITE/NAVY/RED/B.GREEN,M/L/L/XL/XXL,30,SETS,Mohit Hosiery,TRACK SUIT,GENTS,WINTER,,,BHM,"FRONT, OTHER:TOMMY LOGO",N/A,,FLAT KHARCHE WALA TOMMY PC,no,EA,https://drive.google.com/uc?export=download&id=1lBhG_1hB6oCavCamDveppmKN0DjbDjKA,11037,LOWER,CH-PRINT-0002,20 Sept 2025,"{""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""completeLot"":false,""notedAt"":""2025-09-20T08:29:20.014Z""}","[{""number"":""CH-PRINT-0002"",""date"":""20 Sept 2025"",""by"":"""",""completeLot"":false,""totalQty"":750,""items"":[{""shade"":""15%"",""qty"":150},{""shade"":""OFF.WHITE"",""qty"":150},{""shade"":""NAVY"",""qty"":150},{""shade"":""RED"",""qty"":150},{""shade"":""B.GREEN"",""qty"":150}],""receivedDate"":""2025-09-20T08:31:55.782Z"",""embCompleted"":true,""embUpdatedAt"":""2025-09-23T09:10:21.033Z""}]",750,no,,,,,,,,,,,,,,,YES,,,,,,YES,
